Taxon Name,L001-001-981789527_S1,L001-002-232189519_S2,L001-003-981791405_S3,L001-004-981791340_S4,L001-005-232196117_S5,L001-006-232196145_S6,L001-007-232196139_S7,L001-012-NTC-RPIP-LT001_S12
Severe acute respiratory syndrome-related coronavirus,13252.6927062,12890.784556,7281.7838337,72950.3189687,8036.0015067,646.3391163,4102.1548377,936002.1551724
Cutibacterium acnes,1829.001841,518.4776643,1392.8714313,3165.7566769,147.783793,93.944639,541.5787822,2322.1982759
Coronavirus BtRs-BetaCoV/YN2018D,,,,,,,,1115.3017241
uncultured bacterium,36.4693264,78.1725344,9527.4256015,63.6048189,4583.531524,48.5244483,90.498135,80.8189655
Corynebacterium striatum,8.4660936,3.6747773,4.3609827,84.3865913,6.7018232,2.2873477,4.7428201,560.3448276
Escherichia coli,302025.6105844,28364.9375255,480445.4950873,462451.1156033,334193.1142376,455599.3128807,543390.4113369,452.5862069
Staphylococcus aureus,50.4709427,781.3912737,917.2600194,156.1781691,62694.1810303,130.7055847,82.5507067,242.4568966
Acinetobacter johnsonii,0.325619,4971.3054909,9.9113242,1.889252,17.3560036,0.4901459,9.4856402,242.4568966
Pseudomonas stutzeri,2.2793329,17.705745,1.1893589,6.9272575,24.2296684,1.3070558,7.819244,107.7586207
Corynebacterium jeikeium,0.651238,132.9601227,0.9250569,5.6677561,3.0931492,,0.2563687,32.3275862
Bifidobacterium breve,,4.3429186,,,,,,86.2068966
all taxa with neither family nor genus classification,111.036074,285.6304143,41.8918637,527.7310713,329.2485435,20.4227476,51.9146525,150.862069
Streptococcus pneumoniae,22.142091,479.391397,25.505141,72.4213284,20.6209944,15.0311422,15.3821193,145.4741379
Mycobacterium gordonae,0.325619,0.3340707,,3.7785041,0.3436832,,,64.6551724
Enterobacter asburiae,55.0296085,4.0088479,9.7791732,,2.9213075,,0.5127373,129.3103448
Bifidobacterium pseudolongum,0.976857,,,,,,,113.1465517
Corynebacterium sp. HMSC073D01,,1.6703533,,,5.8426151,,,113.1465517
Enterococcus faecalis,1.6280949,14.0309677,4.4931336,2.5190027,7.0455064,0.4901459,2.1791336,107.7586207
Corynebacterium tuberculostearicum,6.1867607,4.0088479,7.4004554,14.4842657,18.5588949,0.163382,2.9482395,10.7758621
Micrococcus luteus,1.3024759,3.6747773,1.5858119,0.6297507,2.4057827,,0.5127373,26.9396552
Salmonella enterica,84872.9141662,10116.9958663,111614.4615879,21449.9379696,101825.2673168,79775.1733238,113249.1866476,70.0431034
Haemophilus parainfluenzae,1.6280949,31.0685714,2.6430198,1.2595014,5.4989318,,2.0509492,59.2672414
Mycobacterium pseudoshottsii,,,,,,,,75.4310345
Corynebacterium rouxii,0.976857,18.3738863,3.5680767,52.2693066,76.4695208,20.7495116,484.9213096,75.4310345
Moraxella osloensis,4.2330468,15.701321,4.4931336,17.0032684,15.9812706,0.4901459,1.1536589,48.4913793
Thiomonas sp. CB2,3805.8347015,12.6946851,8440.8801643,57.9370627,3624.6552857,12058.8972435,10528.5478954,70.0431034
Staphylococcus argenteus,0.325619,2.004424,0.264302,,19.0744198,0.6535279,,70.0431034
Curtobacterium sp. 8I-2,2.6049519,1.002212,2.2465668,1.2595014,0.6873665,0.163382,0.2563687,59.2672414
Enterobius vermicularis,0.976857,0.3340707,1.4536609,1.2595014,,1.6338198,0.6409216,53.8793103
Cupriavidus basilensis,,,,,,,,32.3275862
Bifidobacterium longum,3.9074278,115.5884483,89.730522,68.6428243,29.2130754,0.6535279,0.384553,48.4913793
Mycobacteroides abscessus,118.5253107,29.3982181,4.2288317,193.96321,11.6852301,6.0451333,27.6878147,43.1034483
Gordonia jinhuaensis,2.2793329,0.3340707,0.396453,40.3040436,0.8592081,0.163382,0.5127373,43.1034483
Enterobacter cloacae,30.9338036,25.3893702,43.2133736,57.9370627,68.221123,7.0254252,9.1010872,37.7155172
